Name,Position,Chromosome,First Author,Title,Pubmed link,Year,Journal,Trait,p-value,p-value description,Confidence Interval
rs3753841,103152506,1,Vithana EN,Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.,http://www.ncbi.nlm.nih.gov/pubmed/22922875,08/26/2012,Nat Genet,Glaucoma (primary open-angle),9.0e-10,"",[NR] 
rs1015213,53050094,8,Vithana EN,Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.,http://www.ncbi.nlm.nih.gov/pubmed/22922875,08/26/2012,Nat Genet,Glaucoma (primary open-angle),3.0e-09,"",[NR] 
rs11024102,16965181,11,Vithana EN,Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.,http://www.ncbi.nlm.nih.gov/pubmed/22922875,08/26/2012,Nat Genet,Glaucoma (primary open-angle),5.0e-12,"",[NR] 
rs10505483,128194377,8,Cheng I,Evaluating Genetic Risk for Prostate Cancer among Japanese and Latinos.,http://www.ncbi.nlm.nih.gov/pubmed/22923026,08/24/2012,Cancer Epidemiol Biomarkers Prev,Prostate cancer,7.0e-15,(Japanese and Latin American),NR 
rs6983561,128176062,8,Cheng I,Evaluating Genetic Risk for Prostate Cancer among Japanese and Latinos.,http://www.ncbi.nlm.nih.gov/pubmed/22923026,08/24/2012,Cancer Epidemiol Biomarkers Prev,Prostate cancer,4.0e-13,(Japanese),[1.58-2.22] 
rs13254738,128173525,8,Cheng I,Evaluating Genetic Risk for Prostate Cancer among Japanese and Latinos.,http://www.ncbi.nlm.nih.gov/pubmed/22923026,08/24/2012,Cancer Epidemiol Biomarkers Prev,Prostate cancer,4.0e-10,(Japanese),[1.38-1.84] 
rs11160190,94082137,14,Breitfeld J,Genetic variation in the vaspin gene affects circulating serum vaspin concentrations.,http://www.ncbi.nlm.nih.gov/pubmed/22907691,08/21/2012,Int J Obes (Lond),Vaspin levels,4.0e-41,"",[NR] unit decrease
rs6022786,51880710,20,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,2.0e-09,"",[NR] 
rs13429458,43492342,2,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,4.0e-13,"",[NR] 
rs2479106,125565033,9,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,5.0e-10,"",[NR] 
rs13405728,48978159,2,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,4.0e-09,"",[NR] 
rs2268361,49201612,2,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,1.0e-12,"",[NR] 
rs3802457,96781157,9,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,5.0e-14,"",[NR] 
rs1894116,101575849,11,Shi Y,Genome-wide association study identifies eight new risk loci for polycystic ovary syndrome.,http://www.ncbi.nlm.nih.gov/pubmed/22885925,08/12/2012,Nat Genet,Polycystic ovary syndrome,1.0e-22,"",[NR] 
